url,article_title,article_id,author,view_number,score,summary
https://www.webtoons.com/zh-hant/school/35cm/list?title_no=1463,190的傲嬌,list?title_no=1463,HongGa  ,731.9萬,9.34,155cm的潘河娜和190cm的韓潔，兒時分離的他們現在居然住在一起了？！這對擁有最萌身高差的少男少女之間會發生怎樣的故事呢？
https://www.webtoons.com/zh-hant/romance/imyours/list?title_no=1630,I'm Yours,list?title_no=1630,RoseBean / One Punch Rabbit ,"1,223.6萬",9.75,與曖昧的靈魂展開驚心動魄的同居生活♥某一天，貌似靈魂又不是靈魂的【他】開始來燦陽的家裡找她。因為害怕而躲了好幾天的燦陽，終於鼓起勇氣要面對【他】。但令人意外的是，原來燦陽在陰間欠了他一條命。他要燦陽幫他找出要謀害他的犯人做為代價！燦陽就這樣被迫開始與靈魂同居！
https://www.webtoons.com/zh-hant/time-slip/rebirthgirl/list?title_no=1934,轉世少女,list?title_no=1934,Lee Ji-hun / Han Ah-reum ,160.3萬,8.63,若有一天，你的記憶未被抹去就重生為另一個人，開始新的人生…？因為一場意外而失去性命的18歲女孩將如何改寫人生與愛情？
https://www.webtoons.com/zh-hant/school/danxiao/list?title_no=1757,膽小的調色盤,list?title_no=1757,MINKI ,570.3萬,9.73,性格極其害羞的光娜，連話都不敢大聲說…為擺脫邊緣人的形象，視覺設計系的她加入Palette插畫社，結果入社就遇到了社團危機?! 而校園生活又將帶給她什麼樣的心動的時刻呢?
https://www.webtoons.com/zh-hant/local/zhishizhuzaiyiqi/list?title_no=757,我們真的只是住在一起,list?title_no=757,JUJU C. ,"1,862.9萬",9.64,「我來自台灣，17歲，還是處男。」大一男孩托比離鄉背井來到蘇格蘭愛丁堡，與三位個性截然不同的大學生成為了室友。所謂室友究竟是什麼樣的相處模式？四個住在一起的人從好笑又尷尬的日常小事中有所成長的故事。
https://www.webtoons.com/zh-hant/romance/shuixianayifenzhong/list?title_no=1073,水下那一分鐘,list?title_no=1073,寶阿 ,"4,121.7萬",9.49,曖昧時雙方都會胡思亂想，還有搞笑的誤會！超級怕水的美女香草，遇上害羞的暖男東城，會交織成什麼樣的愛情故事呢？
https://www.webtoons.com/zh-hant/local/nianzu/list?title_no=1046,念族,list?title_no=1046,就就貓 ,864.5萬,9.64,每個人都想要有點不一樣的生活，脫離這個平凡的世界-但是，當你擁有能力的時候，那是真的是快樂嗎？而你真的需要那個能力嗎？即使是要犧牲甚麼的話。念族-因為執念而產生超自然力量的家族，是祝福還是詛咒呢？
https://www.webtoons.com/zh-hant/romance/yuandexinjian/list?title_no=1441,淵的信件,list?title_no=1441,HYEON A CHO ,"607,589",9.94,因一次的挺身而出，遭到校園霸凌的筱莉轉學後，在難以適應新學校的生活之下，偶然發現了一封信 ，這封信改變了她的校園生活…
https://www.webtoons.com/zh-hant/romance/lingyinvyou/list?title_no=550,我的靈異女友,list?title_no=550,芽見 ,"2,563.6萬",9.64,他能看見鬼，而她剛好變成了鬼，前所未有的跌宕愛情故事！
https://www.webtoons.com/zh-hant/local/handsoflove/list?title_no=1421,手心的戀歌,list?title_no=1421,一盎思 ,895.3萬,9.61,不敢緊緊握住，又害怕這份戀心消失...一段校園故事，微妙的師生、朋友關係。
